Authors,Title,Keywords,Abstract,Publisher,Publication Date,Volume,Issue,DOI,pages
"Zuber, N; Gogoll, J","Vox Populi, Vox ChatGPT: Large Language Models, Education and Democracy",large language models; AI; ethics; democracy; education; generative AI,"In the era of generative AI and specifically large language models (LLMs), exemplified by ChatGPT, the intersection of artificial intelligence and human reasoning has become a focal point of global attention. Unlike conventional search engines, LLMs go beyond mere information retrieval, entering into the realm of discourse culture. Their outputs mimic well-considered, independent opinions or statements of facts, presenting a pretense of wisdom. This paper explores the potential transformative impact of LLMs on democratic societies. It delves into the concerns regarding the difficulty in distinguishing ChatGPT-generated texts from human output. The discussion emphasizes the essence of authorship, rooted in the unique human capacity for reason-a quality indispensable for democratic discourse and successful collaboration within free societies. Highlighting the potential threats to democracy, this paper presents three arguments: the Substitution argument, the Authenticity argument, and the Facts argument. These arguments highlight the potential risks that are associated with an overreliance on LLMs. The central thesis posits that widespread deployment of LLMs may adversely affect the fabric of a democracy if not comprehended and addressed proactively and properly. In proposing a solution, we advocate for an emphasis on education as a means to mitigate risks. We suggest cultivating thinking skills in children, fostering coherent thought formulation, and distinguishing between machine-generated output and genuine, i.e., human, reasoning. The focus should be on the responsible development and usage of LLMs, with the goal of augmenting human capacities in thinking, deliberating and decision-making rather than substituting them.",MDPI,FEB,9,1,10.3390/philosophies9010013,18
"Chen, TL; Hong, L; Yudistyra, V; Vincoff, S; Chatterjee, P",Generative design of therapeutics that bind and modulate protein states,Post-translational modifications; Generative AI; Binder design,"Numerous therapeutic approaches have been developed to enable interrogation and modulation of protein isoforms, but often require laborious experimental development or screening of binders to targets of interest. In this article, we focus on efficient, state-of-the-art computational methods to design both small molecule and protein-based binders to target proteins, and highlight recent generative artificial intelligence approaches to binder design, which represents the most promising direction to enable targeting and modulation of any protein state. Integrated with advances in protein-modifying architectures, the strategies described here may serve as the foundation for therapeutic development in the near future.",ELSEVIER,DEC,28,,10.1016/j.cobme.2023.100496,8
"Li, JX; Chen, H; Qi, GL",ADORE: Adaptive Diffusion Optimized Restoration for AI-Generated Facial Imagery,Generative AI; Diffusion model; Face image restoration; Object detection,"We introduce ADORE (Adaptive Diffusion Optimized Restoration), a pioneering solution that addresses facial distortion issues in diffusion-based, language-guided image generation. ADORE enhances facial quality based on image characteristics and style, improving the visual fidelity of AI-generated images. It also mitigates boundary distortions during the face-background fusion process, offering a novel approach to address instability issues by using generative models for image restoration. Rigorous experiments validate ADORE's proficiency in achieving high-quality, style-consistent facial restorations. ADORE supports text-driven, fine-tuned facial refinement, leveraging the model's open-domain synthesis capability. As the first method tailored to enhance facial generation quality in text-to-image models, with its versatility and innovative solutions, ADORE successfully addresses a pressing issue and paves new avenues in image generation.",SPRINGER-VERLAG SINGAPORE PTE LTD,,14435,,10.1007/978-981-99-8552-4_29,13
"Chun, J; Elkins, K",THE CRISIS OF ARTIFICIAL INTELLIGENCE: A NEW DIGITAL HUMANITIES CURRICULUM FOR HUMAN-CENTRED AI,digital humanities; artificial intelligence; large language models; generative AI; AI alignment; AI safety; AI curriculum; AI ethics; computational digital humanities,"This article outlines what a successful artificial intelligence digital humanities (AI DH) curriculum entails and why it is so critical now. Artificial intelligence is rapidly reshaping our world and is poised to exacerbate long-standing crises including (1) the crisis of higher education and the humanities, (2) the lack of diversity, equity and inclusion (DEI) in computer science and technology fields and (3) the wider social and economic crises facilitated by new technologies. We outline a number of ways in which an AI DH curriculum offers concrete and impactful responses to these many crises. AI DH yields meaningful new avenues of research for the humanities and the humanistic social sciences, and offers new ways that higher education can better prepare students for the world into which they graduate. DEI metrics show how an AI DH curriculum can engage students traditionally underserved by conventional STEM courses. Finally, AI DH educates all students for civic engagement in order to address both the social and economic impacts of emerging AI technologies. This article provides an overview of an AI DH curriculum, the motivating theory behind design decisions, and a detailed look into two sample courses.",EDINBURGH UNIV PRESS,OCT,17,2,10.3366/ijhac.2023.0310,21
"Nakagawa, H; Honiden, S",MAPE-K Loop-based Goal Model Generation Using Generative AI,Goal models; requirements analysis; large language models; generative AI; MAPE-K loop mechanism,"Goal modeling constitutes a systematic modeling of representation, specifically crafted to capture and depict stakeholders' intentions, desires, and objectives. Notwithstanding its importance, describing the entire scope of goals to be achieved remains a complex task. To address this challenge, we propose a semi-automatic goal model generation process. The feature of the process lies in its use of a generative AI based on the MAPE-K loop mechanism. We conducted two case studies that built goal models using this proposed process. The results demonstrate that our process, grounded on the MAPE-K loop mechanism, efficiently aids goal model construction.",IEEE COMPUTER SOC,,,,10.1109/REW57809.2023.00050,5
"Lyu, YR; Hao, TX; Yi, ZHY",Design Futures with GAI: Exploring the Potential of Generative AI Tools in Collaborative Speculation,Generative AI; Design Futures; GPT; Text to Image; Futures Scenario,"In recent years, Generative Artificial Intelligence (GAI) has been increasingly applied to perform complex tasks. In this study, a GAI-embedded method for design futures was proposed. Through a week-long workshop guided by a workbook, the potential of GAI for scanning signals, constructing scenarios and assisting in the design of concepts is discussed and explored. According to questionnaire surveys, interviews and related content analysis, high technology can provide certain support for imagination and creative design for the uncertain futures. A key action for designers is to add human-factor-based high-touch guidance and correction to human-AI collaboration. In this regard, this study develops a GAI-embedded framework involving internal and external environments through the combination of future thinking and design thinking, which not only bridges the gap between rational technology and emotional design, but also expands the tools and methods of future design in the age of artificial intelligence.",SPRINGER INTERNATIONAL PUBLISHING AG,,14059,,10.1007/978-3-031-48057-7_10,13
"Budhwar, P; Chowdhury, S; Wood, G; Aguinis, H; Bamber, GJ; Beltran, JR; Boselie, P; Cooke, FL; Decker, S; DeNisi, A; Dey, PK; Guest, D; Knoblich, AJ; Malik, A; Paauwe, J; Papagiannidis, S; Patel, C; Pereira, V; Ren, S; Rogelberg, S; Saunders, MNK; Tung, RL; Varma, A",Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT,artificial intelligence; ChatGPT; CSR; ethics; generative AI; HRM; human resource strategy; international human resource management; productivity; sustainability,"ChatGPT and its variants that use generative artificial intelligence (AI) models have rapidly become a focal point in academic and media discussions about their potential benefits and drawbacks across various sectors of the economy, democracy, society, and environment. It remains unclear whether these technologies result in job displacement or creation, or if they merely shift human labour by generating new, potentially trivial or practically irrelevant, information and decisions. According to the CEO of ChatGPT, the potential impact of this new family of AI technology could be as big as the printing press, with significant implications for employment, stakeholder relationships, business models, and academic research, and its full consequences are largely undiscovered and uncertain. The introduction of more advanced and potent generative AI tools in the AI market, following the launch of ChatGPT, has ramped up the AI arms race, creating continuing uncertainty for workers, expanding their business applications, while heightening risks related to well-being, bias, misinformation, context insensitivity, privacy issues, ethical dilemmas, and security. Given these developments, this perspectives editorial offers a collection of perspectives and research pathways to extend HRM scholarship in the realm of generative AI. In doing so, the discussion synthesizes the literature on AI and generative AI, connecting it to various aspects of HRM processes, practices, relationships, and outcomes, thereby contributing to shaping the future of HRM research.",WILEY,JUL,33,3,10.1111/1748-8583.12524,54
"Al-Zahrani, AM",The impact of generative AI tools on researchers and research: Implications for academia in higher education,Generative AI; research; higher education; ethical considerations; awareness; perceived impact,"This study explores the impact of Generative AI tools on researchers and research in the context of higher education in Saudi Arabia. An online survey questionnaire was used to collect data on higher education students' perspectives (N = 505). The findings indicate that participants hold positive attitudes and possess a high level of awareness regarding GenAI in research. They recognise the potential of these tools to revolutionise academic research. Participants report highly beneficial experiences using GenAI tools to expand project scope and improve efficiency. Additionally, participants expressed optimism about the future role of GenAI tools, expecting them to become more prevalent and transform the research landscape. However, participants emphasised the importance of adequate training, support, and guidance in using GenAI tools. Ethical considerations emerged as a significant concern, highlighting the participants' commitment to responsible research practices and the need for transparency and addressing potential biases associated with these tools.","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2023 OCT 16,,,10.1080/14703297.2023.2271445,15
"Heidrich, D; Schreiber, A",Visualizing Source Code as Comics Using Generative AI,visualization; software visualization; comics; generative ai; stable diffusion,"The architecture and inner structure of software is often only implicitly available in the form of its source code and thus not tangible and intuitively easy to understand for non-programmers and laymen. Our goal is to create visualizations as automatically as possible, with which such people can nevertheless understand the software or parts of the software and get a feel for the structure of the software and how its methods work. Especially for newcomers to software projects, for management or even for students and pupils, it can be helpful to get a nontechnical insight into the software. We use the concept of visualizing information as comics to present aspects of the software as strikingly as possible, as comics are an effective way to present complex systems and interrelationships for certain target groups. For this purpose, we present a method to generate comics from source code. Our semi-automated process is based on generating a prompt for an LLM from source code, which in turn generates a prompt for a comic image generation using the text-to-image model Stable Diffusion. We show that generative AI methods can be used to rapidly generate human-compatible artistic representations from source code. However, further research is needed to validate the understandability of the results.",IEEE COMPUTER SOC,,,,10.1109/VISSOFT60811.2023.00014,5
"Phillips, J; Robie, C",Can a computer outfake a human?,Personality; Single stimulus; Forced choice; Generative AI; Large language models,"Faking on personality tests continues to be a challenge in hiring practices, and with the increased accessibility to free, generative AI large language models (LLM), the difference between human and algorithmic responses is difficult to distinguish. Four LLMs-GPT-3.5, Jasper, Google Bard, and GPT-4 were prompted to provide ideal responses to personality measures, specific to a provided job description. Responses collected from the LLM's were compared to a previously collected student population sample who were also directed to respond in a ideal fashion to the same job description. Overall, score comparisons indicate the superior performance of GPT-4 on both the single stimulus and forced-choice personality assessments and reinforce the need to consider more advanced options in preventing faking on personality assessments. Additionally, results from this study indicate the need for future research, especially as generative AI improves and becomes more accessible to a range of candidates.",PERGAMON-ELSEVIER SCIENCE LTD,FEB,217,,10.1016/j.paid.2023.112434,4
"Ng, DTK; Tan, CW; Leung, JKL",Empowering student self-regulated learning and science education through ChatGPT: A pioneering pilot study,chatbot; ChatGPT; generative AI; large language model; science education; self-regulated learning,"In recent years, AI technologies have been developed to promote students' self-regulated learning (SRL) and proactive learning in digital learning environments. This paper discusses a comparative study between generative AI-based (SRLbot) and rule-based AI chatbots (Nemobot) in a 3-week science learning experience with 74 Secondary 4 students in Hong Kong. The experimental group used SRLbot to maintain a regular study habit and facilitate their SRL, while the control group utilized rule-based AI chatbots. Results showed that SRLbot effectively enhanced students' science knowledge, behavioural engagement and motivation. Quantile regression analysis indicated that the number of interactions significantly predicted variations in SRL. Students appreciated the personalized recommendations and flexibility of SRLbot, which adjusted responses based on their specific learning and SRL scenarios. The ChatGPT-enhanced instructional design reduced learning anxiety and promoted learning performance, motivation and sustained learning habits. Students' feedback on learning challenges, psychological support and self-regulation behaviours provided insights into their progress and experience with this technology. SRLbot's adaptability and personalized approach distinguished it from rule-based chatbots. The findings offer valuable evidence for AI developers and educators to consider generative AI settings and chatbot design, facilitating greater success in online science learning.",WILEY,2024 MAR 22,,,10.1111/bjet.13454,26
"Dejeu, EB",Using Generative AI to Facilitate Data Analysis and Visualization: A Case Study of Olympic Athletes,AI; generative artificial intelligence; data visualization; data analysis; ChatGPT,"The ability to work with data is an important skill for students enrolled in technical and professional communication programs, but students with limited mathematical and computer programming literacies might find it difficult to do basic data analysis or customize data visualizations. This article examines the extent to which ChatGPT can make data analysis and visualization more accessible for students with limited technical proficiency. The results suggest that although the tool is poised to have a substantial impact in helping students create effective data visualizations, its efficacy as a data analysis tool is more limited.",SAGE PUBLICATIONS INC,2024 APR 4,,,10.1177/10506519241239923,17
"Chung, JJY",Artistic User Expressions in AI-powered Creativity Support Tools,creativity support tools; art-making; generative AI,"Novel AI algorithms introduce a new generation of AI-powered Creativity Support Tools (AI-CSTs). These tools can inspire and surprise users with algorithmic outputs that the users could not expect. However, users can struggle to align their intentions with unexpected algorithmic behaviors. My dissertation research studies how user expressions in art-making AI-CSTs need to be designed. With an interview study with 14 artists and a literature survey on 111 existing CSTs, I frst isolate three requirements: 1) allow users to express under-constrained intentions, 2) enable the tool and the user to co-learn the user expressions and the algorithmic behaviors, and 3) allow easy and expressive iteration. Based on these requirements, I introduce two tools, 1) Artinter, which learns how the users express their visual art concepts within their communication process for art commissions, and 2) TaleBrush, which facilitates the under-constrained and iterative expression of user intents through sketching-based story generation. My research provides guidelines for designing user expression interactions for AI-CSTs while demonstrating how they can suggest new designs of AI-CSTs.",ASSOC COMPUTING MACHINERY,,,,10.1145/3526114.3558531,4
"Hoggenmueller, M; Lupetti, ML; Van der Maden, W; Grace, K",Creative AI for HRI Design Explorations,human-robot interaction; creative AI; generative AI; text-to-image models; ideation; sociotechnical imaginaries; design research,"Design fixation, a phenomenon describing designers' adherence to pre-existing ideas or concepts that constrain design outcomes, is particularly prevalent in human-robot interaction (HRI), for example, due to collectively held and stabilised imaginations of what a robot should look like or behave. In this paper, we explore the contribution of creative AI tools to overcome design fixation and enhance creative processes in HRI design. In a four weeks long design exploration, we used generative text-to-image models to ideate and visualise robotic artefacts and robot sociotechnical imaginaries. We exchanged results along with reflections through a digital postcard format. We demonstrate the usefulness of our approach to imagining novel robot concepts, surfacing existing assumptions and robot stereotypes, and situating robotic artefacts in context. We discuss the contribution to designerly HRI practices and conclude with lessons learnt for using creative AI tools as an emerging design practice in HRI research and beyond.",ASSOC COMPUTING MACHINERY,,,,10.1145/3568294.3580035,11
"Jiang, FF; Ma, J; Webster, CJ; Wang, W; Cheng, JCP",Automated site planning using CAIN-GAN model,Automated site planning; Generative design; Generative adversarial networks (GAN); Attention mechanism; Generative artificial intelligence (generative; AI); Planning guidance,"Automated site planning, powered by deep generative methods, excels in creating solutions responsive to exiting city structures but often overlooks user-specific design scenarios, leading to less performative solutions across varied urban contexts. Overcoming this challenge requires integrating domain knowledge and nuances of the built environment to enhance context-awareness in automated site planning. This study therefore proposes the context-aware site planning generative adversarial networks (CAIN-GAN) framework. In the case study of New York City (NYC), CAIN-GAN demonstrates its capability to not only synthesize visually realistic and semantically reasonable design solutions, but also evaluate their performance in urban sustainability for informed decisionmaking. This context-aware, learning-based, data-driven, and user-guided generation process signifies a pivotal advancement in more performative and tailored design solutions. Future studies will focus on refining the CAIN-GAN framework to accommodate diverse user-centric design needs and enhance human-machine interaction in urban development.",ELSEVIER,MAR,159,,10.1016/j.autcon.2024.105286,20
"So, HJ; Jang, H; Kim, M; Choi, J",Exploring public perceptions of generative AI and education: topic modelling of YouTube comments in Korea,Generative AI; ChatGPT; topic modelling; public perceptions; YouTube,"This study aims to investigate the public's perceptions regarding the integration of Generative AI (GenAI) in education by analysing comments on YouTube news clips. The study collected public comments from YouTube news clips disseminated by three prominent broadcasters in South Korea between December 2022 and June 2023. Two dimensions of public perceptions were examined: sentiments and prevalent topics. Employing machine learning techniques, we conducted sentiment analysis and topic modelling on the crowdsourced dataset of 18,566 comments from 66 YouTube news clips. The first research question focused on public sentiments towards GenAI and education. Findings reveal a predominance of neutral sentiments. Rather than adopting extreme positions of complete acceptance or rejection, the public displayed an inclination to appreciate the intricate nuances of GenAI's implications. The second research question sought to identify the main topics emerging from public comments on GenAI and education. We identified 11 distinct topics where two topics are directly linked to educational implications: demands for changes in learning and assessment methods, and the use of GenAI in higher education. Based on the key findings, we draw implications that can inform a broader understanding of public sentiment and perspective towards GenAI and education.","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",JAN 2,44,1,10.1080/02188791.2023.2294699,20
"Idrisov, B; Schlippe, T",Program Code Generation with Generative AIs,artificial intelligence; generative AIs; AI program code generation; program code efficiency; program code maintainability,"Our paper compares the correctness, efficiency, and maintainability of human-generated and AI-generated program code. For that, we analyzed the computational resources of AI- and human-generated program code using metrics such as time and space complexity as well as runtime and memory usage. Additionally, we evaluated the maintainability using metrics such as lines of code, cyclomatic complexity, Halstead complexity and maintainability index. For our experiments, we had generative AIs produce program code in Java, Python, and C++ that solves problems defined on the competition coding website leetcode.com. We selected six LeetCode problems of varying difficulty, resulting in 18 program codes generated by each generative AI. GitHub Copilot, powered by Codex (GPT-3.0), performed best, solving 9 of the 18 problems (50.0%), whereas CodeWhisperer did not solve a single problem. BingAI Chat (GPT-4.0) generated correct program code for seven problems (38.9%), ChatGPT (GPT-3.5) and Code Llama (Llama 2) for four problems (22.2%) and StarCoder and InstructCodeT5+ for only one problem (5.6%). Surprisingly, although ChatGPT generated only four correct program codes, it was the only generative AI capable of providing a correct solution to a coding problem of difficulty level hard. In summary, 26 AI-generated codes (20.6%) solve the respective problem. For 11 AI-generated incorrect codes (8.7%), only minimal modifications to the program code are necessary to solve the problem, which results in time savings between 8.9% and even 71.3% in comparison to programming the program code from scratch.",MDPI,FEB,17,2,10.3390/a17020062,19
"Seth, I; Lim, B; Cevik, J; Sofiadellis, F; Ross, RJ; Cuomo, R; Rozen, WM",Utilizing GPT-4 and generative artificial intelligence platforms for surgical education: an experimental study on skin ulcers,Generative AI; Artificial intelligence; GAN; Large language models; Ulcers; Education,"BackgroundThe advancement of artificial intelligence (AI), specifically Generative Adversarial Networks (GANs), offers exciting possibilities for the enhancement of medical education, with its image-generation capabilities becoming a topic of interest. This novel study evaluates the aptitude of combining a large language model, ChatGPT, with GANs DALL-E 2, Midjourney, and Blue Willow in producing authentic images of ulcers, with a goal to enrich educational resources for surgery.MethodsFirst, ChatGPT-4 was prompted with definitions of different skin ulcers, and its response was inputted into the GAN models. Generated AI images were evaluated by four board-certified plastic surgeons and three plastic surgeon residents with extensive experience using a Likert scale.ResultsAmong the three GANs, only DALL-E showed an acceptable level of accuracy, portraying the unique characteristics of each ulcer type. However, it cannot replace conventional patient photographs in terms of authenticity and educational value. Despite presenting aesthetically pleasing images, Midjourney and Blue Willow produced highly stylized, exaggerated features unsuitable for clinical education.ConclusionsDespite these shortcomings, the future of AI-generated images remains promising, given the continuous progress of technology, in augmenting traditional medical education methodologies.Level of evidence: Not gradable.ConclusionsDespite these shortcomings, the future of AI-generated images remains promising, given the continuous progress of technology, in augmenting traditional medical education methodologies.Level of evidence: Not gradable.",SPRINGER,JAN 29,47,1,10.1007/s00238-024-02162-9,10
"Castellano, G; Fanelli, N; Scaringi, R; Vessio, G",Exploring New Frontiers at the Intersection of AI and Art,Computer vision; Cultural heritage; Digital humanities; Deep learning; Generative AI; Knowledge graphs,"This tutorial explores how AI advancements can enrich the understanding, enjoyment, and accessibility of art, offering new and intriguing ways to engage with artistic works (Tutorial website: https:// sites.google.com/view/aiarttutorial.).",SPRINGER-VERLAG SINGAPORE PTE LTD,,14455,,,3
"Wallace, B; Martin, CP; Torresen, J; Nymoen, K",Learning Embodied Sound-Motion Mappings: Evaluating AI-Generated Dance Improvisation,Generative AI; Dance; Embodied Music Cognition; Mixture Density Networks; Perceptual judgement experiment,"Through dance, a wide range of emotions can be expressed. As virtual agents and robots continue to become part of our daily lives, the need for them to efficiently convey emotion and intent increases. When trained to dance, to what extent can AI learn to model the tacit mappings between sound and motion? Here, we explore the creative capacity of a generative model trained on 3D motion capture recordings of improvised dance. We perform a perceptual judgment experiment wherein respondents rate movement generated by our model as well as human performances. While the sound-motion mappings remain somewhat elusive, particularly when compared to examples of human dance, our study shows that in certain aspects related to perceived dance-likeness and expressivity, the model successfully mimics human dance movement. By employing a perceptual study to evaluate our generative model, we aim to further our ability to understand the affordances and limitations of creative AI.",ASSOC COMPUTING MACHINERY,,,,10.1145/3450741.3465245,9
"Kim, S; Eun, J; Oh, C; Lee, JH",Journey of Finding the Best Query: Understanding the User Experience of AI Image Generation System,Generative AI; human-AI interaction; text-to-image generation; prompt engineering,"With the advancement of AI, even people without professional experience can create artworks using AI-based image generation systems like DALL-E 2. However, little is known about how users interact with these new AI algorithms, much less how AI-infused systems can be designed. We explore the user experience of these new technologies and their potential to foster creativity. A user study was carried out where 13 participants executed tasks of creating artworks using DALL-E 2 alongside in-depth interviews related to their experience. The results showed that users had ambivalent opinions regarding the algorithm's performance. When users were informed of the system's capabilities, they subsequently utilized more specific prompts to generate the intended output. Users also optimized their prompts (the queries they entered to create artworks) based on how algorithms worked to achieve their desired outcome. The users wanted a two-way interaction where AI explained the outcome and accepted feedback rather than simply accepting unilateral instructions. We discuss the implications for designing interfaces that maximize creativity while providing comfort for the users.",TAYLOR & FRANCIS INC,2024 FEB 2,,,10.1080/10447318.2024.2307670,19
"Bridges, LM; McElroy, K; Welhouse, Z",Generative Artificial Intelligence: 8 Critical Questions for Libraries,Generative artificial intelligence; AI literacy; critical information literacy; information literacy; chatGPT; libraries; librarians; education,"In this article, we provide a brief overview of generative artificial intelligence (GenAI) and large language models (LLMs). We then propose eight critical questions that libraries should ask when exploring this technology and its implications for their communities. We argue that libraries have a unique role in facilitating informed and responsible use of GenAI, as well as safeguarding and promoting the values of access, privacy, and intellectual freedom.","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",JAN 2,64,1,10.1080/01930826.2024.2292484,14
"Zhang, XC; Li, Z; Oymak, S; Chen, JS",Text-to-3D Generative AI on Mobile Devices: Measurements and Optimizations,Text-to-3D; generative AI; mobile devices; latency; GPU memory,"Emerging generative models can create 3D objects from text prompts. However, deploying these models on mobile devices is challenging due to resource constraints and user demand for real-time performance. We take a first step towards understanding the bottlenecks by performing a measurement study of three recent text-to-3D generative models (Point-E, Shap-E, and CLIP-Mesh) in terms of their runtime GPU memory usage, latency, and synthesis quality. We investigate the effectiveness of quantization and distillation techniques to overcome these challenges by speeding up inference execution, potentially at the expense of quality. We find that the Shap-E model is promising for mobile deployment, but requires further optimization in its bottleneck diffusion step for real-time performance, as well as reduced memory usage and load times. Further work is needed on custom optimizations for generative text-to-3D models, including targeting specific metrics at each computation stage, efficient representations of 3D objects, and adaptive network and system support for resource-hungry models.",ASSOC COMPUTING MACHINERY,,,,10.1145/3609395.3610594,7
"Waisberg, E; Ong, J; Masalkhi, M; Lee, AG",Concerns with OpenAI's Sora in Medicine,Large language models; LLM; NLP; Artificial video generation; Generative AI,"Open AI's Sora represents a ground-breaking innovation in AI that can generate lifelike and imaginative visual scenes based on text prompts. However, Sora has also produced some new concerns surrounding artificial video generation in medicine. While Sora is highly promising to enhance patient education, facilitate remote consultations and simulate surgical procedures, AI-generated videos also bring technical, legal, and ethical challenges. In this paper, we explore the clinical and ethical implications of Sora's AI-generated videos in the field of medicine.",SPRINGER,2024 APR 1,,,10.1007/s10439-024-03505-0,3
"Levantino, FP",Generative and AI-powered oracles: What will they say about you?,Generative AI; ChatGPT; Privacy; Data protection; Brain-computer interfaces; Virtual reality; Fundamental rights; Artificial intelligence,"In less than one year from its launch, the chatbot ChatGPT has captured widespread public attention, thanks to its ease of use and remarkable performance. However, part of this interest is due to its involvement in some data protection and data security issues. In the context of the ongoing debate surrounding similar technologies, such as generative AI, this contribution will first introduce the ChatGPT phenomenon (Sections 1 and 2). Then, it will analyse the various positions taken by some key stakeholders on the issues of above and the regulation of the design and use of such technologies, examining these perspectives through the lenses of Digital Constitutionalism. Particularly, this paper will emphasise the role that civil society can play in such dynamics (Section 3). Subsequently, it will further promote an active and forward-looking approach in addressing the looming threats these and other AI-based technologies could pose to fundamental rights and society as a whole (Section 4). As we already approach the next AI era without even noticing, the question worth asking ourselves is: What will generative and AI-powered oracles reveal about us? (Section 5).",ELSEVIER ADVANCED TECHNOLOGY,NOV,51,,10.1016/j.clsr.2023.105898,6
"Lodge, JM; de Barba, P; Broadbent, J",Learning with Generative Artifiicial Intelligence Within a Network of Co- Regulation,"Generative AI; student-machine interaction; self-regulated learning, co-regulation of learning; academic integrity","The emergence of generative artificial intelligence (AI) has created legitimate concerns surrounding academic integrity and the ease with which such technologies might lead to cheating in assessment, in particular. However, fixating solely on potential misconduct is overshadowing a more profound, transformative interaction between learners and machines. This commentary article delves into the relationship between students and AI, aiming to highlight the need for revised pedagogical strategies in the AI age. We argue that the much-discussed approaches that prioritise AI literacy or augmented critical thinking might be inadequate. Instead, we contend that a more holistic approach emphasising self -regulated learning (SRL) and co-regulation of learning is needed. SRL promotes autonomy, adaptability, and a deeper understanding, qualities indispensable for navigating the intricacies of AI-enhanced learning environments. Furthermore, we introduce the notion of a network of co-regulation, which underscores the intertwined learning processes between humans and machines. By positioning the self at the core of this network, we emphasise the indispensable role of individual agency in steering productive human-AI educational interactions. Our contention is that by fostering SRL and understanding co-regulated dynamics, educators can better equip learners for an interconnected AI-driven world.Practitioner Notes1. While concerns about AI's potential for cheating are valid, exploring its transformative potential in enhancing learning experiences is vital.2. Self-regulated learning (SRL) is becoming increasingly crucial. SRL equips students to navigate the complexities of AI-enhanced environments effectively.3. While AI literacy and an emphasis on critical thinking are important, they may not be enough. A more holistic approach to learning with AI is needed.4. Educators should focus on ensuring students not only use AI but also understand, adapt to, and learn collaboratively with it.5. Students are increasingly navigating a complex network, including generative AI that helps them regulate their learning.",UNIV WOLLONGONG,,20,7,10.53761/1.20.7.02,12
"Woelfel, M; Shirzad, MB; Reich, A; Anderer, K; Leung, CK",Knowledge-Based and Generative-AI-Driven Pedagogical Conversational Agents: A Comparative Study of Grice's Cooperative Principles and Trust,conversational agent; chatbot; education; large language model; generative language model; retrieval augmented generation; generative AI; digital tutor; digital assistant,"The emergence of generative language models (GLMs), such as OpenAI's ChatGPT, is changing the way we communicate with computers and has a major impact on the educational landscape. While GLMs have great potential to support education, their use is not unproblematic, as they suffer from hallucinations and misinformation. In this paper, we investigate how a very limited amount of domain-specific data, from lecture slides and transcripts, can be used to build knowledge-based and generative educational chatbots. We found that knowledge-based chatbots allow full control over the system's response but lack the verbosity and flexibility of GLMs. The answers provided by GLMs are more trustworthy and offer greater flexibility, but their correctness cannot be guaranteed. Adapting GLMs to domain-specific data trades flexibility for correctness.",MDPI,JAN,8,1,10.3390/bdcc8010002,20
"Seow, O",LingoLand: An AI-Assisted Immersive Game for Language Learning,Language Learning; Generative Games; Large Language Models; Human-AI Interaction,"Immersion with a foreign language is key to increased motivation, satisfaction, and learning success. However, this can be hindered by anxiety and lack of access to immersive settings. LingoLand will address this by immersing people in foreign language learning environments designed to mimic real scenarios. Using generative machine learning, LingoLand presents players with personalized missions where they can freely interact with game characters, all endlessly patient and supportive of new language learners. Players receive instant feedback through a natural, voice-based interaction. Through LingoLand, players gain an understanding of diferent cultures while building practical language skills in a fun way.",ASSOC COMPUTING MACHINERY,,,,10.1145/3586182.3625117,3
"Gentile, M; Città, G; Marfisi-Schottman, I; Dignum, F; Allegra, M",Artificial intelligence for education,Artificial Intelligence and Education (AIED); education; generative AI; learning processes; intelligent tutor systems,,FRONTIERS MEDIA SA,NOV 7,8,,10.3389/feduc.2023.1276546,3
"Chon, KKS; Hao, FE",Technological evolution in tourism: a Horizon 2050 perspective,Tourism; Technology; Generative AI; Web3.0; Metaverse; Artificial intelligence (AI),"Purpose - This study aims to chart the impact of technological advancements on tourism from the post-Second World War era to the present and forecast their influence until 2050. It assesses how technologies have reshaped travel experiences and operations, with a focus on upcoming innovations such as the metaverse, Web 3.0 and AI, and their implications for sustainable and ethical tourism. Design/methodology/approach - This study uses a hybrid approach, combining historical analysis and future projections. It analyzes archival data, industry reports and academic literature. Findings - This study identifies crucial technological milestones that have significantly impacted tourism, including the rise of commercial aviation, the internet and AI. Future trends suggest emerging technologies will further transform the sector. Challenges in sustainability, ethics and inclusivity are highlighted as critical considerations for future development. Originality/value - This paper offers a unique longitudinal perspective on technology's influence on tourism, bridging past trends with future projections.",EMERALD GROUP PUBLISHING LTD,2024 FEB 7,,,10.1108/TR-10-2023-0753,13
